text,label,language
"Pro mé potřeby domácího kutila,hodnotím jako velmi dobrý nástroj.Jediná vada (zanedbatelná) je,že rukojeť nešlo zašroubovat do závitu.Bylo nutno,protáhnout závitníkem. Doporučuji,cena byla výhodná. Zdravím Ivan Šipl",1,cs
S kompresorem jsem vcelku spokojen. Jenom nedrží tlak. Asi po 10-ti hodinách je nádoba úplně prázdná.Nepřišel jsem na to kde utíká. Výrobce by měl k tomuto výrobku také zároveň nabízet příslušenství(tlakovou hadici atd.),1,cs
"Jsou to výborná sluchátka, která zaujmou svojí cenou a provedením. Kupoval jsem si je hlavně kvůli zahnutemu jacku a své dostupnosti, stačí na nenáročný posleh například v MHD. Kabel je měkký ale snadno se zamotava. Jsem s nimi spokojen",2,cs
"Pejskovi kuřecí nechutná, vždy jsem mu brala jehněčí s rýží, i tentokrát jsem mu objednala jehněčí a dostala jsem kuřecí. Bohužel jsem si toho všimla až venku, tak jsem se nechtěla vracet a dohadovat se....",2,cs
"Můj dvouletý labradorský retrívr je všude obdivovaný za štíhlost a osvalení . Miska zmizí než se otočím.Na dovolenou ,kde měl větší zátěž než doma jsem přikoupila i konzervy zn.Brit a když jsem mu je dávala tak voněly tak ,že kdyby to nebyly psí konzervy určitě bych ochutnala . Takhle si dal miláček a miska lítala po kempu. A druhý den, když viděl že jí držím v ruce skákal metr vysoko a to on umí .Krmivo doporučuje i náš pan doktor a k tomu máme důvěru.a cena je super.A jak tady někdo píše že je málo mastné ,proč dávat pejskům mastné ,pak se páníčci diví že mají průjem a ani se nemá krmivo střídat přechod na jiné má být pozvolné a zkusit jestli ho pejsek snese. Nejvíc je mi líto pejsků, kdy jim páníček koupí krmivo 10 kg za 200,- co v něm asi může být slisovaný papír a piliny .To je jako levný párek ,ten taky okolo masa jen prošel.Kupujte pejskům kvalitu, vrátí Vám to přátelstvím a láskou je to nejlepší kamarád mám třetího .Brit mi byl dporučen a doporučila bych ho dál za jeho kvalitu a dostupnou cenu.",2,cs
"Já osobně jsem nezkoušela, ale pes to sežere ani nemrkne, jen by ty granule mohly být větší. Je to pro psy obřích plemen a granulky jsou jak pro pudla. Jinak krmivo hodnotím kladně.",1,cs
"Granule jsou opravdu super,po otevření pochopíte,protože opravdu voní jinak než jiné granule co jsem doposud kupovala :)) a doufám,že pejskovi i tak moc dobře chutnají jak voní.",2,cs
"Chvíli mi trvalo hodnocení než jsem na chuťových pohárcích došla k tomuto závěru. Jsem jezevčí dáma, mlsná a mohou jen doporučit. Ujídá i má kolegyně Ami, anglická bulteriérka. Ta to shltnen a kouká kdy bude další. Masíčka je tam hodně a chutná nám. Vyšleme páníčka pro další nákup.",1,cs
"Pračku jsem vybírala poměrně dlouho. Mám omezený prostor, proto jsem hledala pračku s hloubkou do 45 cm. V obchodech jsem narazila nejprve na pračky LG a Samsung, ty se mi fakt líbily. Navštívila jsem však opravnu praček a tam mi jednoznačně doporučili pračku BOSCH, LG a Samsung jsou sice efektní pračky s velice moderním vzhledem, ale nevydrží a po dvou třech letech odchází, kdežto BOSCH je zárukou kvality. S parčkou už peru, pere fakt moc dobře, výborně ždímá, člověk si může vybrat spoustu programů, je přehledná, po konci proframu zapípá. Nemůžu si ji stále vynachválit a proto vám ji 100% doporučuji.",2,cs
"byl to dárek, ale už jsem slyšela od obdarovaného nejednu chválu. je spokojený, rukojeť z příjemného materiálu, pěkně se drží. dobře se s ním pracuje",2,cs
"Výborná, myje skvěle, naprostá spokojenost, jen se mi zatím nepodařilo správně nastavit myčku nebo mám špatný mycí prostrředek, dělá mi šmouhy na sklenicích a mohla by lépe sušit, ale myje skvěle, jsem velmi spokojený",2,cs
"Krmivo je prvotřídní! Ani jsem nic jiného nečekal, protože mám dobré zkušenosti s touto značkou. Používal jsem granulestejné značky pro štěňata, teď jsem přešel na ""dospělácké"", přechod bez problémů, můj bernský salašnický si jen mlaská.",2,cs
"Můj osobní názor na koulodráhu – líbí se mi, pěkně udělaná, kulička běhá, se změnou tvaru si pohraji já i synové. Ovšem kočky jsou ochotné do kuličky drbnout, jen pokud sedíme na jejím druhém konci a drbneme do ní taky. Teda vlastně jedna kočka - ta, co je hravější. Druhá - naše dáma - se na mě po rozbalení a sestavení koukla jak na debila :-) - s výrazem - to si jako mám hrát? Vždyť mi je už deset roků! Přitom si hraje obyčejně úplně se vším, papírky, krabice, krabičky, provázky... Ovšem věřím, že pro koťata je koulodráha ideální, takže ji nevracím a zatím sei hrajemei se synem... :-))",0,cs
"S výběrem tašky jsem spokojená, jak už někdo psal, vypadá jako kabelka a nejde poznat, jaký ""poklad"" tam vlastně ukrýváte. Do vyjímatelné části se vejde objektiv a zrcadlovka s nasazeným teleobjektivem, praktické je zvětšení vnitřního prostoru rozepnutím zipu na boku. Malé kapsičky uvnitř jsou chráněny horním zipem, ale boční, zcela nesmyslně, jsou zvenčí volně přístupné, přitom stačilo pár suchých zipů .. To je zatím asi jediná výtka, jinak tašku můžu doporučit. AV",2,cs
"S mym Samsungem Ace Bluetooth nemel nejmensi problemy pri navazovani spojeni. Automaticky se pripoji nejen telefonni prenos, ale i prenos audio. Jedina vec mne prekvapila, ze se baterie neda vymenit..?",1,cs
"Krásný, prostorný, díky 4 kolečkům snadno ovladatelný. Proti - doteď jsme neprokoukli, jak nastavit číselný kód na zámku. Budeme muset řešit na stránkách výrobce. Jinak spokojenost.",1,cs
Jsem hlavně spokojená s vysavačem elektrolux ultra one. Je opravdu super.Se sáčky prozatím také ale to ukáže ještě čas. Máme tento vysavač relativně krátkou dobu. Ale prozatím je hodnocení výborné.,2,cs
"Když není v nabídce Vitakraft pro králíky tak králík dostává i toto pro morčata. Složení je prakticky totožné. Škoda, že není v nabídce skladem častěji.",1,cs
"Xtreamer black je velice vydařený produkt, asi nejlepší v této cenové relaci! Vyzdvihuji možnost nahrávání 2 programů současně, plánování, přehrávání. Podporuje snad všechny dostupné formáty, vše mě pracuje bezchybně. Přístroj reaguje rychle na stisk tlačítek, HD video přehrává z vestavěného i externího disku plynule. Mnoho služeb s využitím internetu. Navíc vyniká v nízké spotřebě, v pohotovostním stavu 0,4 W a v provozu cca 9 - 11 W. Jsem velmi, velmi spokojen.",2,cs
"Lehký, penvý, optimální velikost pro trek i camp. Plastový okraj brání nežádoucímu popálení rtů. Po 2 horských pobytech zatím opravdu spokojenost. RH.",2,cs
Kávovar je velmi kvalitně zpracován. Výbornou kávu si vyrobí amatér i profesionál. Ovládání bez problému i díky výbornému manuálu. Výsledná káva je o třídu lepší než cenově srovnatelná konkurence.,2,cs
"Stelivo je vynikající v tom, že dlouho vydrží bez zápachu a moc se nevynáší ze záchůdku oproti jinému, co jsme měli. Nevšimla jsem si ale, že nehrudkuje, což mi vzhledem ke dvěma kočkám nevyhovuje. Stelivo se po pomočení rozpadá na piliny a zvětšuje tím svůj objem, takže je ho při dvou kočičkách za chvíli hromada...takže příště koupíme hrudkující a necháme ho pro morčátko, pro které je taky vhodné. Pro ty co hrudkující nemají rádi, tak bude skvělé.",1,cs
Jednoduchá montáž. Sušička se do rámu zašoupne a upevní přednímy zarážkami. Udrží sušičku na místě a nikam se nešoupe. Můžu jen doporučit. Andrea,1,cs
První výrobek mi přišel poškozený a již nikdy více bych nechtěla u mall.cz něco reklamovat. Na podruhé to vyšlo. Pračka jako taková je fajn.,1,cs
"Kladne hodnotim tichy chod, zvlacovac mame v loznici, a jednoduchu obsluhu. Na druhej strane, domaca meteostanica ani po dlhsom pouzivani zvlcovaca nezaznamenava vyznamne zvysenie vlhkosti a ani pocitivo narast vlhkosti velmi nebadat, voda v zasobniku vsak ubuda, takze neviem ... :-)",1,cs
"Po montáži na střechu a zapojení do televize, se obraz razantně zlepšil a přestal kostičkovat při jakékoliv změně počasí. Anténa nasměrována na vzdálený vysílač Krašov. Dále přijímáme i německé programy, které jsme předtím vůbec nechytili. Anténu mohu vřele doporučit.",2,cs
"Maximální spokojenost, je to super záležitost..máme tři syny a naprosto celá rodina se na tom houpeme...je opravdu báječný a s klidným svědomím mohu doporučit tento výrobek. NEVÁHEJTE S KOUPÍ.",2,cs
"dobra vec, funguje skvele. V baleni je drzak jak na nafukovaci bazen co je na obrazku tak na bazen typu OHIO ktery ma operny ram postaveny z trubek.",2,cs
"Výborně se drží v ruce, mají dlouhou rukojeť, takže se člověk nezapatlá od skleničky. Jen je to opravdu jen pro začátky krmení, protože na později už je pak dost mělká. Ale jsem s ní moc spokojena.",2,cs
"barervná kombinace nepříliš zdařilá, ale vzhledem k tomu, že oproti ostatním ""crocsíkům"" této řady byly za poloviční cenu (129 Kč vs. 249 Kč), nebylo co řešit... loňský model mi přišel pevnější, vydržely nám celou sezonu, u těchto lehce pochybuji... ale i tak za tu cenu dobrá koupě...",0,cs
"Výrobek je těžší a metličky trochu krátké, ale když máte vysokou misku, tak to nestříká mimo mísu. Líbí se mi tlačítko turbo, když potřebuji na chvíli přidat více otáček, tak nemusím těžce přepínat stupně, ale jen na chvíli stisknu turbo a držím, tak dlouho jak jen potřebuji.",1,cs
"sedacka splnila ucel, akorat pro mensi mimina bychom doporucili operku hlavy a v Croozeru (model 2009) se nam ji nepodarilo umistit dostatecne nalezato",0,cs
S vyrobkem jsme spokojeni.Koupila jsem si už u Vás pískovou filtraci a vysavač je to supr.Určitě budu doporučovat výrobky dalším zákazníkům. Dana Vaníková z Nezvěstic,2,cs
"Kvalitní provedení, vše je robustní a pevně drží kde má. Jediné mínus je, že nemá centrální nastavení výšky, ale to mne až tak netrápí nastavil jsem ji na minimum a tak sní budu jezdit pravděpodobně celou dobu. Koš na trávu je opravdu veliký a sekačka jej dokáže naplnit do totálního zaplnění sám nechápu jak to dokáže. Jedině když je tráva mokrá tak ho většinou zaplní jen ze 3/4 ale i to je dobrý výkon.",1,cs
"Zastřešení je z kvalitního materiálu a je to úžasná věc,pořád čistý bazén ,teplejší voda a dokonce vydržel i dvě celkem velké vichřice a nehyzdí okolí .Dopručil bych ho ostatním.Jediné s čím nejsem spokojený je celkem složitá stavba pokud je již bazén postaven což ¨je v jedné osobě celkem nemožné a nemožnost úplného vypnutí stěn.Myslel jsem že je to jen špatnou stavbou,ale nesetkal jsem se ani u cizích zastřešení s lepším vypnutím.Další nevýhoda je že mezi bazénem a zastřešením není možné sekat trávu,takže pokud nemáte např .okolo beton nebo dlažbu budete trhat ručně jako já:-) Jinak celkově hodnotím zastřešení jako povedený a kvalitní výrobek.",1,cs
"Konvice více než splnila má očekávání. Kromě toho, že ohřívá vodu, ještě pípá (po dokončení) a ukazuje, kolik má ohřívaná voda právě stupňů. Ovládání je intuitivní. Zpracování je poměrně kvalitní.",2,cs
"s výrobkem jsem spokojena, zváště nepromokavá úprava je perfektní. líbi se mi, že delší část tašky je vodorovná, je to mnohem přehlednější, než na svislo. Tašku této značky doporučuji, neboť je praktická a je možné mít uspořádané věci pro potřebu kojence.",1,cs
"Původně jsem měl verzi 2,5 cm. Přítelkyni jsem koupil 3,8 a po vyzkoušení jsem si ten komfort (spí se jak v bavlnce) pořídil taky. Zpracování a materiály bez problémů.",2,cs
"Na svou velikost hrají výborně, včetně basů. Mají dostatečně dlouhý kabel, výborně drží na uších, ale předesílám, že nejsem běžec ale cyklista a bruslař. Martin Řáha",2,cs
Spokojenost na 100%. Uvítla jsem především možnost ohřevu vody na jeden šálek. Rychlost s jakou ohřívá - na 1 hrnek do 30 s - perfektní. A voda teče kudy má - přeně do hrnku. Všem doporučuji !!! Jelikož jsem byla s konvicí spokojena koupila jsem druhou i pro tchýni.,2,cs
"Absolutní špička mezi plenkami, nikdy jmse nebyli opruzení, jsou úžasné na dotek, krásně se s nimi pracuje, doporučuji všem co je mohou dovolit!",2,cs
"TV mám zatím kráce, nicméně potvrzuji spokojenost. Pěkný vzhled, obraz, jednoduché ovládání, schopnost přehrávat i filmy/foto z externího disku. Jediné na co jsem nepřišla je rychlé přetáčení filmu z disku (lze pouze 2x-16x zrychlit, nikoli však např. přetočit na polovinu filmu).",1,cs
"Granule jsou tabulkove velmi kvalitni, opravdu hezky voni a nasemu psovi chutnaji. Neni vsak vhodne pro psy s citlivejsim zaludkem. Tomu nasemu zpusobuje nadymani. Priste se bohuzel musim vratit k Pro Planu s lososem, ktery se tu prodava taky. Sice psovi moc nejede, ale neprdi. :))",0,cs
"S touto pračkou jsem maximálně spokojená, ideální velikost pro dva lidi, minimální nároky na prostor. Jen je trochu víc hlučnější při maximálním ždímání. Všem ji doporučuji.",2,cs
"S váhou jsem spokojena, splnila všechna má očekávání. Vážení je rychlé a přesné, funkce přivažování velmi užïtečná. Výrobek se dobře udržuje a pěkně vypadá.",2,cs
"Plenky se nezapínají na suchý zip, jsou už pevně spojené na boku jako klasické spodní kalhotky, takže se můžou snadno svlékat a znovu oblékat, čehož lze využít třeba při trénování na nočník.",2,cs
"Grilování na tomto grilu je v pohodě, pouze mi chybí jedna věc a to je odpapávání mastnoty ze spodní části grilu. Je třeba, aby si každý sám řešil nějakou misku nebo krabičku pod šroubem, který je ve spodní části grilu. Jinak spokojenost. JUDZIN001",2,cs
"Tenhle grill už sem si měl koupit dřív! Perfektní věc tady tohle :) . Jen dávám 4 hvězdičky skrz to že na kameni je odtokový kanálek na olej který okamžitě přetéká a teče pro grilu (menši upgrade to spravil), je trochu hůř čistitelný. Jinak paráda",1,cs
"Vyrobek je dobry, ne vse co obsahuje mohu vyuzit. Docela mne zklamalo, ze obsahuje pouze 30% udaju cisel popisnych u jednotlivych ulic..srovnatelne levnejsi Garmin Vas navede primo k urcitemu domu, toto Mio pouze ""do stredu ulice""...Jinak jsem byl mile prekvapen zakaznickou podporou jak od vyrobce v zahranici, tak i v Cechach.",1,cs
"Výrobek používám krátkodobě a zdaleka jsem neověřil všechny jeho možnosti,zatím splnil perfektně vše, co jsem vyžadoval včetně jednoduchosti ovládání.Doporučuji informovat kupujícího o kapacitě náplní v zakoupeném výrobku.V nabídce MALL jsem neobjevil základní černou náplň.",2,cs
"je lehoučký i prostorny idealní od 1 do 4třídy ,je to i fajn material špína z to ho pujde dobře dolu dcerce se moc líbí Dobře jí přilne na zána díky šikovným výstuhám. Ještě nevíme jakou zátěž vydrží.Nashledanou čížková",1,cs
"S tímto vysavačem jsem nadmíru spokojená. Starší předchůdce mi dosloužil a tento ho plně nahrazuje. Akorát při jízdě po bytě ""neposlouchá"" a jede si kam chce - ale to je vážně jedniný zápor, který jsem našla. Opravdu mohu jen doporučit.",2,cs
"Váha rakety je hodně vpředu na hlavě, což mi vyhovuje, ale někomu to může vadit. V důsledku váhy na hlavu nebrní v ruce ani při silnější ráně, na druhou stranu subjektivní pocit hmotnosti rakety může být nepříjemný. Raketa je spíše pomalejší. Velmi dobře se drží, vhodná spíš pro techničtější hru než pro agresivní způsob hry.",1,cs
"Nářadí Fiskars je synonymem kvality a proto jsem si i nůžky od tohoto výrobce vybral a předpokládám, že s nimi budu, tak jako s ostatním nářadím zn.Fiskars, plně spokojen. Doposud jsem však s nimi neustřihl ani proutek a bylo by proto zkraslující i nezodpovědné je už nyní hodnotit; rád se k tomu vrátím po jarním řezu stromů, bude-li to možné. Protože mi tato aplikace nedovolí hodnocení odeslat, aniž bych označil počet hvězdiček, dávám tedypo zkučenostech s ostatním nářadím Fiskars i po vyzkoušení ovládání těchto nůžek (jdou velice lehce a práce s nimi bude určitě snadná) 5 hvězdiček. Jan Slavíček",2,cs
"Velmi dobrá bruska na jemnější práce. V návodu, na rozdíl od popisu prodejce, jsem nenalezl doporučení na broušení rýčů a seker.Výrobce doporučuje třeba i hrubší broušení silně ztupených vrtáků provádět na brusce jiné.Vcelku jsem spokojen, výrobek splňuje očekávání.",1,cs
"S flashdiskem jsem celkem spokojen, rychlost je poměrně dobrá, byť jsem doufal v lepší výsledky, než byly uvedeny, ty ale přesaženy nebyly. Jedinou výtku, kterou bych měl je absence nějaké šňůrky či řetízku, kterou by bylo k tělu flashky připevněno krycí víčko na konektor. U mé předchozí flashky byl a su téhle víčko pořád někde hledám. ;-)",1,cs
"Velmi pěkný vnější i vnitřní design chladničky. Nízká provozní hlučnost, přehledné ovládání a nastavení provozních parametrů. Jako další velké plus hodnotím použití No Frost technologie chlazení + inverter kompresor, který snižuje spotřebu elektrické energie. S chladničkou jsem zatím spokojen a proto její koupi doporučuji.",2,cs
"To se nebojím nazvat termotriko! Koupil jsem si ho po 8 letech znova. Tehdy mě vyšlo na cca 1500,- , nyní zde v akci na polovinu :-) Nedám na něj dopustit. Zatím nejlepší termo, jaké jsem na sobě nosil. To původní používám na vše možné (všechny venkovní aktivity) jako první vrstvu - podzim, zima, jaro i v chladné letní noci. Stále elastické. Sice trošku zežmolkovatělo, ale pro mě je to nepodstatný detail. Cítím se v něm stále ""jako v bavlnce"" i po vícedenním nošení.",2,cs
"S výrobkem jsem spokojená, sekáček dokáže skvělou jahodovou dřeň, rozmixovat různé ovoce, zeleninu i ořechy, až na konzistenci pomazánky. Jediná nevýhoda je, že to nedokáže s malým množstvím, to se nalepí na strany a zůstane v celku. Ruční mixér je pevný a stabilní.",1,cs
"Tato zehlicka velmi, velmi dobre vyzehli pradlo, ktere je treba presusene nebo lezi jiz nekolik dni na hromade (coz asi, kazdy, kdo je docela zaneprazdneny, moc dobre zna :)) velmi pekne vyzehli do hladka, a to diky mnoha otvorum na paru, soustredenych ve spicce zehlici plochy. zehlicka je vhodna pro ""delsi"" zehleni, tim myslim napr. kdyz zehlite 2 hodiny a toho pradla je skutecne hodne - zehlicka ma velky (400ml) zasobnik na vodu. Myslim, ze je vyborna pro domacnosti s detmi, kdy toho obleceni je na zehleni skutecne dost. velmi dobry pomer vykon x cena. protoze mam doma starsi model, ktery ma mensi nadrzku (300ml), prijde mi tato zehlicka ponekud ""vetsi"". ale manevrovatelnost je velmi dobra. myslim, ze je to velmi dobra volba.",2,cs
"Po měsíčním používání jsem s jeho prací velmi spokojená, uklízí tak 3x týdně a vždy mě překvapí, kolik prachu dokáže posbírat. Výrobek můžu jen doporučit.",2,cs
"Zatím jsem ho nosil pouze v létě jako jedinou vrstvu - z toho hlediska jde o příjemný materiál který mi docela vyhovuje. Velikost udaná výrobcem je taková, aby těsně seděla na těle. Komu to nevyhovuje a chce volnější, berte vyšší číslo. Nevýhodou je ale s jakou rychlostí se mechanicky opotřebovává. Po pár dnech s plnou polní na zádech je i na vypraném tričku naprosto zřetelně vidět, kde mě batoh nejvíc tížil.",1,cs
"S botami jsem prozatím naprosto spokojený. Každým dnem, co je nosím se v nich cítím pohodlněji (paměťová pěna). Jediné, co by se dalo vyčíst je klouzavost podrážky na hladkém povrchu (obzvláště při vyšší vlhkosti), ale takový už Vibram, bohužel, je.",2,cs
"Tato helma přesně sedí na moji hlavu a perfektně mi vyhovuje včetně odvětrání. Mám již druhou, ta první stoprocentně splnila svojí funkci; totálně se rozštípala při pádu přímo hlavou na asfalt, aniž bych já měl nějaký následek.",2,cs
"Ve skutečnosti vypadá laciněji než na fotkách. Vedle mého 13,3"" lenova už se nevejde přihrádka na zdroj. Jinak je taška praktická a solidně zpracovaná, jak je u Dicoty zvykem.",0,cs
"Výborná volba. Rychlost, praktičnost, skladovatelnost, dostatečná kapacita baterií na cca 150m2. Pro rodinu s dítětem a psem ideální volba!!!",2,cs
"Zakoupil jsem společně s Neo-plasma televizorem Panasonic, funguje výborně i v paneláku schovaná za televizorem dává vynikající signál (a to jsem ve slabším pásmo pokrytí). Naprostá spokojenost, žádné připomínky.",1,cs
Hafani jsou s tímto krmivem naprosto spokojeni.Mají po něm skvělou srst.Určitě tyto granulky doporučuji ostatním chovatelům.Baští je i dceřin vybíravý jorkšírek.,2,cs
